Itatiba;Itatiba;63;Seila2;Jose;Itatiba;50;63;Itatiba;Seila;Maria;Seila2;Americana;53;Sumare
Itatiba;Americana;Campinas;Maria;35;Sumare;71;Seila;Seila2;Americana;Americana;46;Campinas;75;Itatiba
Campinas;Neide;Maria;Itatiba;Sumare;Maria;Seila;Seila;73;Sumare;Itatiba;Americana;25;Campinas;Itatiba
Maria;Campinas;Sumare;Jose;36;Maria;Itatiba;78;12;13;Seila2;45;62;Itatiba;Americana
Americana;Americana;Americana;Seila2;Itatiba;Seila2;Itatiba;Americana;Maria;Santa Barbara;72;Itatiba;Itatiba;Seila;Americana
Santa Barbara;Maria;Americana;Jose;65;Itatiba;Campinas;Americana;Americana;Maria;Campinas;62;Neide;66;Itatiba
Americana;68;Santa Barbara;Campinas;Itatiba;Seila2;Campinas;Neide;Itatiba;41;Itatiba;Campinas;36;Campinas;Itatiba
Americana;Neide;Itatiba;Itatiba;75;Sumare;Campinas;Campinas;Not Named;Neide;51;Neide;Sumare;40;27
Americana;Americana;Neide;Not Named;Campinas;Itatiba;Santa Barbara;Americana;Americana;40;Campinas;31;Neide;Sumare;Americana
Sumare;Americana;19;Americana;Sumare;38;Maria;47;Americana;49;Americana;Santa Barbara;Americana;60;Seila
Itatiba;Campinas;Itatiba;Campinas;Itatiba;Americana;Seila;Not Named;Santa Barbara;Itatiba;13;Seila2;Itatiba;Santa Barbara;24
Americana;65;Campinas;Campinas;Jose;Seila2;28;46;32;Americana;Americana;30;Sumare;Itatiba;Itatiba
52;77;21;65;18;Seila;Santa Barbara;Campinas;29;Americana;Itatiba;Americana;Americana;Campinas;Campinas
Campinas;Americana;Americana;Neide;Sumare;Itatiba;Campinas;71;Seila2;Not Named;70;Maria;Sumare;Itatiba;Americana
Santa Barbara;Neide;51;Neide;Neide;Sumare;Seila2;26;35;Maria;Jose;48;76;Maria;Jose
Santa Barbara;Itatiba;Sumare;Neide;Neide;21;Sumare;Not Named;Americana;11;Itatiba;36;43;Seila;59
Campinas;12;Neide;Itatiba;16;Seila;Americana;27;14;Campinas;21;Seila;Itatiba;Americana;24
Maria;Itatiba;Maria;Campinas;Maria;Santa Barbara;Maria;Campinas;Campinas;Campinas;Seila;Americana;Americana;Americana;77
Sumare;Itatiba;12;23;Not Named;Neide;Itatiba;Itatiba;Maria;Santa Barbara;Americana;Campinas;Santa Barbara;Sumare;Seila
Campinas;Campinas;Sumare;Sumare;Maria;19;Neide;Itatiba;Americana;34;Itatiba;Jose;Campinas;Seila2;Campinas
Itatiba;Itatiba;Santa Barbara;Jose;Maria;49;Itatiba;Maria;67;Campinas;Santa Barbara;Americana;Itatiba;Americana;37
Itatiba;Americana;Seila2;Americana;Neide;37;14;Americana;Sumare;Neide;Itatiba;Itatiba;Jose;Sumare;Itatiba
Neide;Campinas;Itatiba;Campinas;Campinas;78;Not Named;62;Americana;29;28;Itatiba;Seila;Itatiba;19
Seila2;Americana;Americana;27;Seila;56;Campinas;Neide;16;Maria;Itatiba;Santa Barbara;Sumare;Sumare;36
Americana;11;Seila;Neide;Maria;Americana;Not Named;Not Named;65;Seila;33;Not Named;Sumare;Seila2;Americana
Seila2;Santa Barbara;Americana;Maria;Sumare;Americana;Neide;Jose;Sumare;Seila;Seila;18;12;Campinas;Itatiba
Americana;41;Santa Barbara;Seila;Seila;34;Itatiba;Americana;Santa Barbara;Americana;Campinas;28;Seila2;42;50
Campinas;52;Americana;33;Sumare;Seila;Neide;Campinas;Seila2;Campinas;59;Neide;Americana;Americana;39
Itatiba;Santa Barbara;Campinas;10;74;52;43;Seila;Santa Barbara;Campinas;Americana;14;65;Santa Barbara;60
68;Not Named;Seila2;75;Sumare;Neide;22;Americana;46;Itatiba;Seila2;Americana;Sumare;Campinas;Maria
Americana;Sumare;Seila2;Maria;65;Campinas;62;Seila2;Itatiba;15;Seila2;Sumare;45;Americana;16
26;Itatiba;Maria;Jose;Itatiba;68;Sumare;Santa Barbara;Maria;34;Itatiba;Sumare;Campinas;45;Santa Barbara
Campinas;Campinas;Maria;Maria;Neide;Santa Barbara;58;Seila;Jose;Americana;Santa Barbara;Americana;Campinas;Seila2;Americana
Santa Barbara;Itatiba;Seila2;Sumare;Americana;Itatiba;54;Jose;Maria;Itatiba;Neide;Itatiba;Santa Barbara;Itatiba;76
Sumare;Campinas;Campinas;Americana;Seila2;Maria;Santa Barbara;Sumare;Americana;Neide;Campinas;57;Jose;Itatiba;Americana
Maria;Campinas;Seila;76;25;Campinas;Campinas;63;Not Named;Itatiba;Sumare;Itatiba;48;Campinas;Seila2
Neide;32;Seila2;Campinas;Campinas;Itatiba;Itatiba;Americana;Itatiba;Seila;Itatiba;Seila;Americana;Seila2;Neide
Sumare;Americana;Maria;Itatiba;Campinas;Itatiba;31;Itatiba;Itatiba;Campinas;Itatiba;Campinas;Itatiba;Santa Barbara;Itatiba
Itatiba;48;Sumare;36;57;Neide;Sumare;Campinas;Seila2;Americana;Sumare;42;Neide;33;Americana
Itatiba;Sumare;Campinas;35;Seila;Not Named;Campinas;72;19;53;Sumare;Campinas;48;Campinas;Itatiba
Itatiba;Americana;Americana;25;Seila;Not Named;Santa Barbara;Campinas;Jose;Campinas;37;Neide;Americana;Campinas;Seila2
Seila2;Itatiba;Campinas;Americana;35;Not Named;Campinas;64;Not Named;36;Americana;Seila;Americana;Jose;50
Itatiba;Maria;Americana;Americana;23;Itatiba;Jose;30;Americana;Seila;Maria;Americana;Campinas;12;Seila2
Itatiba;Americana;Itatiba;Campinas;Santa Barbara;73;Santa Barbara;Not Named;31;Sumare;Seila;Sumare;Americana;38;Campinas
Campinas;Campinas;57;Sumare;43;Santa Barbara;Itatiba;Campinas;Seila;Itatiba;Americana;55;35;Santa Barbara;71
Neide;Americana;Neide;66;Americana;Seila2;Santa Barbara;Americana;Americana;Neide;Santa Barbara;56;Santa Barbara;Maria;Sumare
Itatiba;35;Maria;Seila2;22;63;23;Itatiba;Itatiba;17;Itatiba;Seila;33;68;36
Sumare;25;Seila2;39;37;68;Seila;11;Santa Barbara;42;Neide;Itatiba;33;Americana;15
Santa Barbara;53;Maria;Campinas;Americana;Americana;Santa Barbara;Sumare;45;77;Campinas;Maria;Itatiba;Neide;Seila
Campinas;65;Seila;Sumare;Maria;Americana;Campinas;41;Itatiba;Jose;Sumare;Sumare;Maria;Seila2;Neide
Campinas;Americana;Itatiba;45;29;Itatiba;Americana;Campinas;Maria;Seila2;Neide;Americana;Campinas;Campinas;Campinas
Campinas;Santa Barbara;30;Maria;Itatiba;Campinas;Not Named;36;Sumare;Jose;Not Named;Santa Barbara;37;Not Named;18
72;Santa Barbara;Maria;Seila;Itatiba;Itatiba;42;Santa Barbara;Campinas;60;Sumare;Seila2;Seila2;18;Seila
34;62;Neide;Santa Barbara;47;Seila;24;Neide;20;Sumare;54;Campinas;Sumare;Campinas;Itatiba
Seila;Sumare;Santa Barbara;37;Itatiba;Itatiba;Maria;Neide;41;Americana;Americana;Americana;Neide;Campinas;62
Sumare;Seila2;Americana;Sumare;Itatiba;Neide;Itatiba;Americana;Itatiba;Not Named;Campinas;Campinas;Itatiba;Campinas;Americana
Not Named;Jose;47;11;Itatiba;59;Americana;Campinas;Sumare;Sumare;Itatiba;30;Seila2;Campinas;Neide
Seila2;Itatiba;Americana;63;45;Neide;51;65;Campinas;Neide;Americana;49;Campinas;Seila2;Itatiba
37;30;Americana;Sumare;Itatiba;Campinas;67;Campinas;53;Sumare;Americana;Campinas;Americana;Seila;Neide
Campinas;68;Itatiba;Not Named;Itatiba;58;40;Campinas;66;Campinas;54;28;15;16;Not Named
Sumare;Maria;Campinas;58;41;43;Americana;Americana;Not Named;Campinas;Neide;Campinas;Seila;Itatiba;Campinas
Santa Barbara;Itatiba;Seila;Itatiba;Itatiba;Itatiba;43;Seila;Maria;Sumare;Sumare;Not Named;30;Itatiba;Americana
Seila;Itatiba;Campinas;Seila2;Americana;Campinas;21;Campinas;Itatiba;Jose;Sumare;Americana;Seila;Neide;Neide
32;38;Itatiba;Campinas;Americana;Not Named;Maria;Itatiba;Itatiba;Neide;50;Santa Barbara;34;Itatiba;Americana
Itatiba;33;Maria;Santa Barbara;Seila;Neide;67;27;Jose;Itatiba;Seila;Americana;Not Named;Santa Barbara;Neide
Not Named;49;67;Americana;Campinas;Neide;Americana;Americana;Not Named;Itatiba;69;Sumare;Seila2;Seila2;33
Americana;Itatiba;67;Santa Barbara;Americana;Itatiba;77;Sumare;Campinas;Itatiba;15;Americana;54;Americana;Americana
Campinas;Americana;Itatiba;Santa Barbara;Santa Barbara;Americana;Campinas;Jose;38;Santa Barbara;Americana;36;Not Named;54;Seila2
Itatiba;58;28;Itatiba;71;Americana;Americana;Campinas;70;Campinas;21;Campinas;Santa Barbara;Santa Barbara;Campinas
34;72;Maria;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Itatiba;Sumare;Jose;Seila;Americana;Sumare;40;Seila
20;Campinas;Seila2;Sumare;Americana;Itatiba;72;Seila;Seila2;Santa Barbara;Americana;Campinas;Seila2;Itatiba;Itatiba
Americana;18;Americana;Seila2;66;Seila;Maria;Santa Barbara;Americana;Not Named;Jose;25;Santa Barbara;Seila2;Neide
Santa Barbara;Campinas;Not Named;65;Not Named;59;Neide;Santa Barbara;Santa Barbara;Americana;Americana;Itatiba;Itatiba;Neide;Neide
Campinas;Itatiba;Americana;Campinas;42;Itatiba;Itatiba;Itatiba;Sumare;Maria;Americana;Sumare;Campinas;Americana;Campinas
50;Seila;43;Campinas;46;Itatiba;Sumare;Americana;Campinas;Americana;Itatiba;Maria;Itatiba;30;Campinas
40;Itatiba;Sumare;Itatiba;77;Santa Barbara;Americana;Neide;Maria;Itatiba;Campinas;Santa Barbara;71;Sumare;Americana
Maria;Santa Barbara;74;Americana;Maria;Neide;Americana;Itatiba;Americana;29;Maria;Campinas;Seila;Neide;Neide
15;Americana;69;Seila;31;36;Santa Barbara;Americana;19;Not Named;Not Named;61;Santa Barbara;17;45
35;Americana;72;Seila;70;Itatiba;Seila;Americana;Sumare;Not Named;Santa Barbara;Seila;Santa Barbara;Seila;34
30;Jose;Americana;Sumare;Itatiba;75;Americana;Neide;19;Jose;Campinas;Campinas;Americana;Santa Barbara;Seila2
Sumare;Itatiba;10;Americana;Maria;66;33;Seila2;Itatiba;Campinas;Neide;Itatiba;Campinas;Itatiba;Campinas
Itatiba;60;Sumare;Neide;58;Santa Barbara;64;28;Itatiba;Santa Barbara;41;Americana;12;Seila2;75
Americana;Itatiba;Itatiba;Sumare;Campinas;Itatiba;Seila2;49;Itatiba;Sumare;Americana;54;39;24;50
Maria;Seila;Seila2;29;Itatiba;Campinas;Itatiba;Campinas;Neide;Itatiba;Americana;Seila2;47;Itatiba;47
14;59;Itatiba;56;Campinas;Itatiba;Americana;74;Neide;33;Neide;35;Campinas;13;21
51;Americana;Santa Barbara;13;Itatiba;Seila2;77;Jose;50;58;Campinas;Campinas;74;Seila2;Maria
17;53;58;Campinas;Campinas;13;36;58;73;Campinas;Itatiba;Campinas;Americana;Americana;Not Named
73;20;62;Americana;34;14;Itatiba;Neide;Campinas;Itatiba;20;Maria;10;Sumare;Campinas
56;48;Sumare;Seila2;11;25;Campinas;Neide;42;Santa Barbara;Campinas;Neide;Santa Barbara;52;Campinas
Seila2;34;52;Seila;18;Itatiba;53;Sumare;Americana;Americana;Americana;Seila;63;Seila;Maria
Itatiba;Campinas;Itatiba;Americana;Campinas;38;Sumare;Santa Barbara;76;Americana;Itatiba;33;Maria;69;50
Santa Barbara;Neide;55;Campinas;50;39;Americana;Maria;Americana;Sumare;Americana;Santa Barbara;72;Seila;78
Americana;64;25;Santa Barbara;Itatiba;Americana;Maria;15;17;Americana;Maria;Santa Barbara;Campinas;Itatiba;Maria
21;Seila;Maria;Santa Barbara;Americana;21;Santa Barbara;Not Named;Americana;Itatiba;Neide;17;Santa Barbara;Seila;Campinas
Campinas;Itatiba;Santa Barbara;Itatiba;58;Seila;Sumare;Sumare;Sumare;Santa Barbara;Seila;Neide;72;Seila2;49
Itatiba;Americana;Itatiba;68;Seila2;Itatiba;Americana;Americana;63;Itatiba;Maria;Sumare;Seila2;23;Santa Barbara
65;Campinas;Itatiba;Neide;Seila;Itatiba;Maria;Not Named;71;Americana;Campinas;Americana;30;Itatiba;Americana
44;Seila2;Seila2;Americana;Seila;Americana;Santa Barbara;Seila;Jose;15;Not Named;Seila2;Sumare;Seila;12
Seila2;Americana;Itatiba;Itatiba;Itatiba;40;Campinas;Maria;Itatiba;Campinas;25;Jose;Americana;Neide;Santa Barbara
Sumare;Itatiba;Not Named;Americana;Campinas;Itatiba;12;Neide;Americana;Maria;Itatiba;Seila;Seila;28;Santa Barbara
Santa Barbara;Campinas;32;49;36;Sumare;Itatiba;54;45;Campinas;Neide;Santa Barbara;Americana;Santa Barbara;Seila
Americana;Maria;Seila2;Maria;Campinas;Santa Barbara;Campinas;39;Itatiba;Campinas;26;Sumare;Neide;Itatiba;Seila2
Not Named;Sumare;Itatiba;Sumare;Seila;Sumare;Jose;Americana;Americana;45;Seila2;Itatiba;Americana;27;Sumare
25;Neide;Seila;43;Itatiba;Jose;44;Campinas;Seila;Itatiba;Americana;52;Campinas;Not Named;14
Sumare;29;Sumare;21;Itatiba;76;Seila;19;Santa Barbara;Americana;Sumare;41;53;Campinas;Sumare
Not Named;Seila2;Jose;Americana;Sumare;Sumare;14;Not Named;Campinas;Seila2;Campinas;Itatiba;Americana;67;Seila
Sumare;Campinas;Sumare;Americana;Campinas;Itatiba;Americana;46;Jose;42;Sumare;Santa Barbara;Sumare;Americana;36
Campinas;Americana;Itatiba;Itatiba;Maria;Santa Barbara;Neide;Seila2;Sumare;Americana;Not Named;Jose;Maria;18;29
34;47;Jose;Campinas;Seila;Neide;Maria;Seila;Americana;Itatiba;Itatiba;47;Campinas;Seila2;Neide
59;Sumare;Americana;Seila;Campinas;Campinas;Campinas;Santa Barbara;Sumare;Campinas;Maria;Itatiba;Itatiba;Neide;Maria
Seila2;Itatiba;Sumare;Itatiba;Seila;Santa Barbara;51;Neide;Maria;62;Sumare;Santa Barbara;Seila;16;Campinas
Americana;41;Santa Barbara;Seila;Jose;Itatiba;Itatiba;Seila2;Campinas;Seila2;Americana;Neide;Americana;Americana;10
Maria;Maria;Neide;62;Campinas;Americana;Americana;Campinas;Maria;Maria;Campinas;Seila;Not Named;21;Itatiba
Neide;Campinas;36;Campinas;Maria;Sumare;Americana;Seila;38;Neide;69;Seila2;Americana;Jose;Seila2
76;Campinas;27;Campinas;Maria;Sumare;Seila2;Jose;Campinas;Americana;Americana;Neide;68;Neide;Neide
Americana;Santa Barbara;49;Americana;Jose;Seila2;Itatiba;Americana;Campinas;Seila;Itatiba;Maria;Campinas;69;Sumare
Santa Barbara;Americana;40;Sumare;Campinas;64;37;Americana;Itatiba;15;Santa Barbara;Americana;Itatiba;24;Campinas
Santa Barbara;Maria;Sumare;18;48;19;Neide;Itatiba;Santa Barbara;Sumare;Seila;45;Santa Barbara;Seila;Itatiba
45;Seila2;Campinas;43;52;Itatiba;Jose;23;Santa Barbara;Maria;Campinas;Sumare;Santa Barbara;Itatiba;21
Sumare;Americana;Americana;Seila2;Seila;Neide;Seila2;Seila2;Itatiba;Maria;Santa Barbara;Itatiba;41;Sumare;Campinas
Itatiba;57;Not Named;Campinas;51;Itatiba;Itatiba;49;Campinas;Americana;Itatiba;Campinas;57;Campinas;Santa Barbara
Itatiba;Santa Barbara;Seila;Americana;Campinas;Campinas;Campinas;Campinas;Itatiba;Americana;Campinas;Seila;16;Jose;32
Americana;41;Santa Barbara;Santa Barbara;46;Seila2;49;Campinas;Campinas;34;Campinas;Itatiba;Seila;Americana;Americana
Santa Barbara;Neide;22;72;42;Itatiba;Campinas;Campinas;Seila2;69;Campinas;Americana;52;Itatiba;Seila
44;Campinas;Campinas;Seila;Americana;Americana;Campinas;55;Seila2;40;Itatiba;Maria;Americana;Sumare;Neide
Santa Barbara;Campinas;61;Campinas;Campinas;Seila;Sumare;Campinas;60;Americana;32;Seila;Seila2;Campinas;20
Seila;Americana;70;12;Americana;30;55;33;Campinas;Itatiba;Sumare;Americana;Americana;Campinas;Seila
Maria;Itatiba;Seila;Santa Barbara;Maria;Seila;Santa Barbara;Americana;Seila2;Itatiba;68;Neide;Itatiba;Itatiba;43
Maria;Campinas;Campinas;48;Maria;Campinas;Campinas;29;24;54;Campinas;Neide;Not Named;Not Named;41
Americana;Sumare;13;Itatiba;Itatiba;Neide;Americana;Itatiba;51;Seila;Itatiba;Maria;Maria;Campinas;Jose
Campinas;Campinas;21;Neide;Jose;Maria;Americana;Seila;72;74;Santa Barbara;Maria;Americana;Americana;28
66;Seila;33;Americana;Jose;41;53;Seila2;Seila;44;44;Seila2;41;Maria;Americana
Campinas;74;67;38;Americana;51;64;40;Seila2;67;Santa Barbara;Campinas;Sumare;Campinas;Americana
Campinas;Sumare;Jose;Americana;70;Sumare;Seila;Santa Barbara;76;56;Campinas;Santa Barbara;Campinas;Americana;Americana
38;Not Named;Americana;67;Sumare;Sumare;36;Seila;Seila;Maria;Santa Barbara;Itatiba;45;Neide;31
26;54;Santa Barbara;Sumare;Maria;Maria;19;Americana;Itatiba;10;Maria;Americana;Americana;40;Maria
21;28;Campinas;Santa Barbara;Americana;54;Americana;Americana;Campinas;27;Americana;52;Not Named;Campinas;Seila
Jose;Itatiba;Americana;Itatiba;Santa Barbara;Campinas;Itatiba;Maria;Americana;Seila2;Santa Barbara;Seila;Campinas;Campinas;Campinas
Seila2;17;Seila;Itatiba;44;Itatiba;Santa Barbara;Seila2;42;76;Santa Barbara;Neide;Not Named;Not Named;49
37;Americana;Maria;Campinas;26;Jose;Campinas;Seila;Itatiba;Campinas;Not Named;Itatiba;Sumare;Campinas;33
45;Americana;41;Campinas;Itatiba;Santa Barbara;Americana;18;Not Named;50;Seila;Americana;Americana;73;10
Campinas;Seila2;43;Americana;53;75;25;Americana;23;Seila2;Americana;72;Americana;62;Itatiba
Not Named;Campinas;11;Americana;Santa Barbara;Jose;53;18;28;Itatiba;Neide;43;Americana;Itatiba;Campinas
Sumare;Seila;Itatiba;Americana;Itatiba;12;Itatiba;Seila2;Itatiba;Neide;Not Named;Itatiba;Maria;Itatiba;Neide
Itatiba;Santa Barbara;Neide;Campinas;Itatiba;32;Sumare;Campinas;Santa Barbara;Jose;Seila2;Itatiba;57;Americana;Sumare
Sumare;55;Americana;Americana;Americana;67;Not Named;Itatiba;Campinas;Sumare;Campinas;Seila2;Maria;Campinas;Neide
Americana;59;Sumare;Itatiba;27;Seila;Seila;71;24;Sumare;52;Campinas;Santa Barbara;Campinas;Santa Barbara
Santa Barbara;Americana;Santa Barbara;Seila;Maria;Neide;68;Americana;Maria;60;Americana;Seila2;Campinas;42;54
Jose;19;Sumare;Itatiba;17;Santa Barbara;67;Americana;42;Americana;Sumare;Maria;Sumare;Santa Barbara;Sumare
Americana;13;36;Americana;Itatiba;Campinas;Seila;Not Named;Seila2;59;30;37;Americana;60;Itatiba
Not Named;Campinas;Sumare;Sumare;Jose;Americana;Maria;Itatiba;Campinas;Itatiba;Maria;Seila2;Sumare;Americana;Santa Barbara
Americana;Sumare;40;Americana;Sumare;Campinas;Americana;Sumare;51;Sumare;Americana;Itatiba;Santa Barbara;Campinas;Campinas
Campinas;Campinas;Not Named;Neide;Neide;Campinas;Americana;Seila2;Seila;Campinas;Campinas;Itatiba;65;Campinas;49
Seila;Campinas;Itatiba;Santa Barbara;Not Named;Seila2;24;Santa Barbara;Sumare;Americana;14;Americana;Not Named;Neide;Seila
Neide;Neide;Itatiba;Not Named;66;Itatiba;13;Neide;Campinas;Campinas;60;Jose;Santa Barbara;Campinas;Americana
Itatiba;15;Neide;Itatiba;Campinas;Itatiba;Itatiba;Sumare;Americana;Sumare;Sumare;Itatiba;Sumare;Campinas;Americana
29;Not Named;Sumare;Seila2;66;Not Named;Sumare;Americana;66;Americana;Itatiba;Sumare;Sumare;78;41
Maria;Jose;Americana;Itatiba;61;71;11;Campinas;Santa Barbara;48;Itatiba;Neide;Itatiba;Seila;Seila
74;Neide;Campinas;44;Americana;Americana;60;Seila;Americana;Sumare;Maria;57;Americana;Santa Barbara;Santa Barbara
Itatiba;Sumare;38;Santa Barbara;Jose;Campinas;Neide;Seila;25;Jose;Campinas;Campinas;31;66;Seila2
Maria;Itatiba;Seila2;Sumare;57;Itatiba;Maria;Itatiba;11;14;Santa Barbara;Neide;24;Campinas;Not Named
Americana;Americana;Neide;49;Itatiba;11;Itatiba;Itatiba;13;Sumare;Itatiba;Seila;Maria;45;Santa Barbara
Seila2;42;Jose;Not Named;Campinas;Itatiba;Seila2;Campinas;Campinas;Sumare;Maria;Campinas;Sumare;Itatiba;Americana
Sumare;Americana;Seila;20;Itatiba;Americana;Itatiba;Itatiba;Americana;Seila2;Neide;Itatiba;Neide;37;Itatiba
33;Americana;Americana;41;Sumare;Itatiba;56;Itatiba;Itatiba;Jose;58;Americana;Not Named;Americana;Seila
Santa Barbara;Sumare;Americana;Campinas;Itatiba;35;42;Sumare;Americana;Campinas;Itatiba;Americana;Americana;Campinas;59
Americana;Itatiba;Neide;Sumare;24;Sumare;Itatiba;Americana;Jose;Seila2;Itatiba;Seila;46;52;Seila
52;45;Americana;Itatiba;44;Neide;51;53;Campinas;52;Seila;Campinas;Americana;Maria;Seila2
Americana;45;Americana;Sumare;Sumare;Seila2;Itatiba;63;Itatiba;Itatiba;Campinas;Americana;Maria;Campinas;Seila2
15;Neide;Americana;Itatiba;Seila2;60;50;Campinas;Itatiba;32;Jose;Sumare;Jose;Americana;Americana
Seila2;Santa Barbara;Campinas;Sumare;Santa Barbara;Itatiba;Santa Barbara;25;Not Named;21;Seila;Americana;21;Seila2;76
Campinas;Campinas;57;23;Americana;Seila;Sumare;30;73;55;Itatiba;52;Itatiba;Americana;Campinas
41;Campinas;58;Seila;Seila2;Maria;Campinas;Americana;Campinas;Seila;71;Itatiba;Seila;Americana;Campinas
Sumare;39;Maria;Sumare;75;Americana;Seila2;Neide;Maria;Campinas;Jose;41;Campinas;Maria;Sumare
Santa Barbara;24;23;Sumare;43;Seila;Maria;Maria;Campinas;Itatiba;75;Jose;21;Americana;Seila
45;Santa Barbara;Itatiba;Jose;Campinas;29;12;31;Campinas;31;Americana;10;Santa Barbara;Santa Barbara;Campinas
Americana;Sumare;Neide;Neide;Campinas;Neide;Americana;Campinas;62;75;Seila2;Americana;Itatiba;21;41
Seila2;21;Maria;Neide;Not Named;Sumare;Sumare;Maria;12;Itatiba;Santa Barbara;Itatiba;57;Maria;Maria
66;Maria;Itatiba;57;Santa Barbara;Neide;Sumare;Americana;36;26;Itatiba;Itatiba;Americana;Americana;24
23;Itatiba;65;Itatiba;66;Maria;Jose;73;Americana;Americana;Santa Barbara;Campinas;Sumare;22;57
Seila2;Itatiba;Itatiba;13;22;Americana;Seila;28;Americana;Itatiba;Sumare;Itatiba;Sumare;Americana;Campinas
Itatiba;40;Not Named;Americana;Neide;Campinas;Campinas;Not Named;41;Campinas;Maria;Neide;60;Seila2;Neide
Seila2;Santa Barbara;Maria;56;Campinas;Sumare;Campinas;Seila2;Itatiba;42;63;Campinas;Seila;Santa Barbara;Jose
Itatiba;Seila;Campinas;Seila2;Maria;Sumare;21;39;Itatiba;Campinas;22;21;Maria;49;Neide
67;Seila2;Sumare;Americana;Campinas;Santa Barbara;Seila;Itatiba;Neide;Sumare;Seila2;77;Campinas;23;Itatiba
Santa Barbara;69;Itatiba;Campinas;Maria;Campinas;Seila;Santa Barbara;Campinas;Campinas;Maria;Itatiba;Itatiba;Americana;Campinas
Americana;Americana;Not Named;30;23;10;Americana;Jose;Seila2;68;Maria;Campinas;Campinas;Sumare;47
26;72;Campinas;Jose;Sumare;Americana;Santa Barbara;Neide;Campinas;Campinas;Campinas;49;Americana;Sumare;Campinas
26;Seila;Seila2;Santa Barbara;28;61;Not Named;Sumare;63;Americana;Sumare;Campinas;Sumare;Seila2;Santa Barbara
Itatiba;Santa Barbara;Campinas;Seila;Neide;Campinas;Campinas;Maria;52;65;60;Itatiba;Americana;Itatiba;Itatiba
Itatiba;Americana;Neide;Santa Barbara;63;38;Seila;Americana;27;Campinas;Santa Barbara;Itatiba;Not Named;Sumare;61
Americana;59;13;Itatiba;Sumare;Neide;Neide;Campinas;Sumare;Itatiba;45;Itatiba;Not Named;Americana;Maria
30;Santa Barbara;Itatiba;36;Seila2;Americana;Seila;Maria;Santa Barbara;Neide;Jose;Americana;Not Named;Santa Barbara;Sumare
Americana;59;56;Santa Barbara;Santa Barbara;Sumare;53;Jose;60;Campinas;Sumare;Americana;Campinas;Sumare;57
31;Itatiba;62;39;39;21;Santa Barbara;Not Named;Americana;64;Campinas;Campinas;Campinas;Jose;Itatiba
59;Santa Barbara;Seila2;Neide;48;32;Sumare;Americana;59;Americana;Sumare;Americana;76;Campinas;Americana
Santa Barbara;Jose;Americana;40;Campinas;Americana;Itatiba;Americana;Sumare;Campinas;Americana;69;Seila;Sumare;77
Americana;Itatiba;Not Named;17;26;71;68;59;18;Americana;66;Sumare;42;Campinas;Jose
Seila;Neide;Campinas;67;Itatiba;Itatiba;Campinas;Itatiba;Not Named;Seila2;35;Americana;76;Campinas;Seila
Neide;Americana;Seila;Campinas;49;Campinas;Americana;Americana;Seila;Maria;Itatiba;Itatiba;Americana;Campinas;Americana
Sumare;Itatiba;Itatiba;17;Itatiba;75;Maria;Seila;Neide;Itatiba;Campinas;14;60;17;Itatiba
44;Itatiba;Americana;57;61;Americana;Campinas;Seila2;29;Santa Barbara;Campinas;Campinas;Americana;Itatiba;Itatiba
Campinas;49;Seila;Seila2;Americana;58;Seila;70;Maria;Santa Barbara;Sumare;Americana;50;31;Not Named
35;23;Campinas;Campinas;22;42;Itatiba;Seila;Itatiba;65;Neide;Sumare;Santa Barbara;Campinas;Itatiba
13;Neide;Maria;Sumare;Seila2;Seila;Neide;Santa Barbara;Not Named;61;Seila;Seila;Campinas;Sumare;Americana
20;Americana;Seila;Seila;Sumare;Jose;Americana;Santa Barbara;Campinas;Americana;21;50;Santa Barbara;Sumare;Americana
Santa Barbara;71;Americana;Itatiba;Campinas;77;Neide;11;Seila2;74;62;Itatiba;Americana;Americana;Santa Barbara
Santa Barbara;Seila;Maria;51;Neide;15;Sumare;Campinas;Neide;Itatiba;Jose;60;Santa Barbara;Neide;43
Not Named;Neide;Itatiba;57;19;58;Americana;Maria;Americana;46;65;Santa Barbara;Americana;Sumare;Santa Barbara
Americana;43;Americana;Santa Barbara;Maria;Americana;Seila;Itatiba;Americana;Santa Barbara;61;Sumare;Americana;Itatiba;Campinas
Neide;37;Itatiba;Campinas;Americana;Campinas;53;Seila2;Itatiba;Neide;Seila;Santa Barbara;58;Itatiba;Itatiba
Sumare;Americana;Seila2;Sumare;Sumare;Seila;47;Not Named;Americana;Seila2;Campinas;Seila;Seila;Sumare;Campinas
Seila;Itatiba;Americana;Itatiba;Seila2;67;Itatiba;Americana;67;Itatiba;15;Not Named;Campinas;Sumare;Americana
Campinas;Santa Barbara;Not Named;Itatiba;23;35;Not Named;Seila;Santa Barbara;Neide;52;Americana;Americana;Campinas;Americana
Seila2;Campinas;Neide;Itatiba;Itatiba;Campinas;Seila2;Santa Barbara;Neide;57;Maria;Santa Barbara;Campinas;Itatiba;Santa Barbara
Maria;Not Named;Jose;Not Named;54;Americana;Itatiba;Sumare;Sumare;Sumare;Campinas;Neide;Itatiba;Americana;28
Campinas;Sumare;Santa Barbara;Seila;Maria;40;Seila;Campinas;Americana;57;Americana;60;Americana;Maria;Americana
Jose;Seila;Maria;Sumare;Jose;11;Seila2;Santa Barbara;44;Seila;Not Named;32;Campinas;Americana;75
